year,1th,2th,3th,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21th,22th,23th,24th,25th,26th,27th,28th,30th
1950,642.0,579.0,786.0,627.0,647.0,593.0,701.0,669.0,589.0,,,,626.0,,,,,,697.0,529.0,,,427.0,,,,,,
1951,579.0,647.0,498.0,642.0,633.0,641.0,766.0,697.0,673.0,686.0,786.0,612.0,,,640.0,,,,,427.0,,,,,,,,,
1952,647.0,642.0,641.0,578.0,,626.0,526.0,,498.0,509.0,,611.0,518.0,,,427.0,,,,,,657.0,449.0,,,,,,
1953,647.0,579.0,642.0,578.0,633.0,498.0,657.0,640.0,697.0,656.0,427.0,,518.0,,,,,555.0,,429.0,,,,,,,,,
1954,579.0,498.0,578.0,427.0,648.0,478.0,,525.0,,,,658.0,670.0,475.0,,,669.0,429.0,,,,,518.0,,647.0,449.0,,,
1955,579.0,475.0,608.0,427.0,642.0,641.0,628.0,643.0,554.0,,648.0,653.0,512.0,,,,496.0,,,,620.0,478.0,,,,356.0,,,
1956,579.0,475.0,581.0,554.0,559.0,608.0,580.0,,,486.0,528.0,,,,501.0,,,,482.0,,,,,,583.0,,555.0,347.0,
1957,579.0,475.0,577.0,578.0,479.0,418.0,,581.0,,509.0,554.0,427.0,,476.0,,,555.0,456.0,,483.0,,,347.0,,,,,,
1958,578.0,475.0,479.0,456.0,501.0,,427.0,,590.0,403.0,,,525.0,579.0,591.0,529.0,,347.0,,,509.0,289.0,,,,,,,
1959,356.0,479.0,475.0,403.0,427.0,360.0,364.0,347.0,,449.0,509.0,404.0,,,482.0,,477.0,,,289.0,,,,,,,,,
1960,356.0,360.0,475.0,404.0,403.0,476.0,,373.0,,,479.0,341.0,,,289.0,,,,481.0,,,,512.0,376.0,,,,353.0,
1961,403.0,476.0,364.0,,386.0,404.0,360.0,,394.0,479.0,341.0,,289.0,,,,456.0,376.0,,,,,,,,,,,
1962,289.0,373.0,360.0,341.0,364.0,403.0,408.0,386.0,356.0,401.0,394.0,385.0,,347.0,,404.0,,410.0,,340.0,,,,,,,,,
1963,373.0,289.0,,341.0,364.0,360.0,356.0,408.0,347.0,,,423.0,,430.0,346.0,,,278.0,,,,,,,,,,,
1964,341.0,289.0,373.0,385.0,,364.0,360.0,356.0,,346.0,383.0,374.0,,,347.0,278.0,,,305.0,,,,309.0,,,,,,
1965,373.0,289.0,328.0,364.0,341.0,385.0,386.0,360.0,,356.0,304.0,,358.0,345.0,,,278.0,,,,,,,,,,,,
1966,356.0,341.0,358.0,304.0,289.0,373.0,328.0,385.0,,375.0,386.0,364.0,,346.0,,,347.0,,,,278.0,,,,,,,,
1967,304.0,356.0,373.0,278.0,,289.0,,364.0,328.0,374.0,340.0,,,347.0,,383.0,,,235.0,,,262.0,,,,,,,
1968,289.0,328.0,304.0,235.0,360.0,345.0,341.0,,306.0,278.0,373.0,358.0,262.0,,,,350.0,,312.0,,347.0,,351.0,,207.0,,,,
1969,328.0,235.0,360.0,358.0,306.0,304.0,289.0,361.0,346.0,356.0,341.0,278.0,345.0,,,262.0,,,207.0,,,,,,,,,,
1970,358.0,235.0,223.0,304.0,328.0,,278.0,,306.0,224.0,243.0,280.0,289.0,360.0,207.0,,341.0,,262.0,,,320.0,,,,238.0,,,
1971,328.0,238.0,327.0,235.0,,224.0,223.0,207.0,278.0,,,,,307.0,,280.0,,243.0,,,289.0,306.0,182.0,,,,,,
1972,224.0,328.0,304.0,235.0,309.0,223.0,,305.0,238.0,,306.0,207.0,,,,199.0,,,314.0,232.0,,182.0,,,,,,,
1973,328.0,224.0,238.0,327.0,309.0,304.0,199.0,231.0,235.0,306.0,250.0,232.0,332.0,262.0,290.0,,182.0,,278.0,,,187.0,,,,,,,
1974,224.0,223.0,222.0,182.0,238.0,199.0,304.0,231.0,221.0,235.0,,250.0,306.0,187.0,,233.0,232.0,230.0,,,172.0,,,,,,,,
1975,182.0,224.0,199.0,231.0,223.0,250.0,200.0,,221.0,252.0,230.0,172.0,,207.0,288.0,235.0,178.0,197.0,294.0,,275.0,187.0,,,,,,,
1976,231.0,182.0,222.0,221.0,223.0,207.0,172.0,,200.0,255.0,238.0,,233.0,178.0,,199.0,,278.0,230.0,,197.0,,,,,,,,
1977,182.0,222.0,207.0,199.0,231.0,200.0,178.0,221.0,,172.0,233.0,224.0,187.0,238.0,230.0,,175.0,,119.0,,,152.0,,,,,,,
1978,207.0,238.0,199.0,182.0,221.0,187.0,222.0,172.0,203.0,,119.0,,175.0,,202.0,223.0,219.0,233.0,206.0,,,137.0,,,,,,,
1979,222.0,203.0,178.0,172.0,223.0,199.0,,163.0,187.0,197.0,,,219.0,182.0,137.0,,,,119.0,,224.0,136.0,,,,,,,
1980,178.0,137.0,199.0,172.0,202.0,163.0,173.0,219.0,119.0,177.0,,,,,117.0,,152.0,,222.0,207.0,,95.0,,,,,,,
1981,137.0,199.0,178.0,172.0,117.0,187.0,203.0,173.0,163.0,,119.0,,202.0,95.0,152.0,176.0,207.0,110.0,,,,105.0,,,,,,,
1982,177.0,187.0,,117.0,182.0,163.0,105.0,,173.0,119.0,137.0,158.0,206.0,95.0,199.0,,110.0,,207.0,176.0,,152.0,,,,192.0,90.0,,
1983,137.0,117.0,163.0,175.0,177.0,158.0,,110.0,119.0,182.0,172.0,95.0,,118.0,176.0,184.0,173.0,,152.0,,123.0,,,,,,,,
1984,182.0,117.0,173.0,105.0,137.0,163.0,118.0,177.0,95.0,,175.0,170.0,119.0,123.0,,110.0,,,160.0,176.0,77.0,,,,,,,,
1985,117.0,105.0,177.0,102.0,173.0,95.0,140.0,137.0,172.0,182.0,123.0,,118.0,,166.0,,77.0,,,,84.0,,,,,,,,
1986,117.0,95.0,137.0,102.0,140.0,177.0,77.0,105.0,,,84.0,178.0,166.0,,119.0,,,112.0,,110.0,,,,,,,,,
1987,137.0,95.0,102.0,117.0,77.0,140.0,105.0,123.0,170.0,158.0,138.0,,119.0,110.0,,112.0,,84.0,90.0,,,78.0,,,,,,,
1988,102.0,117.0,77.0,123.0,105.0,137.0,118.0,,95.0,,119.0,158.0,127.0,,110.0,94.0,,78.0,,,,,,,,,,,
1989,117.0,102.0,119.0,95.0,123.0,145.0,77.0,137.0,55.0,118.0,105.0,,,65.0,,84.0,,,,,138.0,,139.0,,,99.0,,,78.0
1990,102.0,117.0,77.0,,95.0,123.0,119.0,145.0,55.0,88.0,,,103.0,118.0,,131.0,,127.0,65.0,,,,,,,,,,
1991,102.0,95.0,119.0,77.0,117.0,137.0,55.0,131.0,110.0,90.0,94.0,30.0,,,57.0,,,87.0,,,,,,81.0,65.0,,,,
1992,95.0,119.0,30.0,102.0,77.0,84.0,55.0,57.0,110.0,105.0,100.0,91.0,,65.0,,,92.0,,,71.0,,,,,,,,,
1993,117.0,102.0,71.0,30.0,119.0,55.0,84.0,77.0,65.0,87.0,91.0,,104.0,,57.0,,22.0,,,56.0,,,69.0,,,,,,
1994,30.0,71.0,77.0,57.0,55.0,22.0,84.0,14.0,95.0,50.0,44.0,87.0,49.0,56.0,,,79.0,91.0,,,,81.0,100.0,105.0,,63.0,,,
1995,30.0,71.0,14.0,65.0,55.0,77.0,57.0,44.0,49.0,87.0,22.0,56.0,84.0,63.0,,96.0,83.0,,50.0,,,,,,,,,,
1996,71.0,35.0,30.0,55.0,57.0,77.0,14.0,22.0,44.0,56.0,84.0,49.0,63.0,65.0,64.0,50.0,21.0,,,,,,,,,,,,
1997,35.0,30.0,49.0,14.0,,57.0,,56.0,21.0,44.0,65.0,23.0,71.0,22.0,25.0,15.0,63.0,,,78.0,50.0,,,,,,,,
1998,57.0,30.0,14.0,56.0,35.0,71.0,25.0,,21.0,23.0,55.0,22.0,63.0,,15.0,,,44.0,,,,,,,,,,,
1999,57.0,56.0,49.0,14.0,30.0,23.0,22.0,65.0,21.0,63.0,15.0,,25.0,,44.0,,37.0,,35.0,,,,,,,,,,
2000,30.0,57.0,14.0,22.0,23.0,21.0,35.0,18.0,49.0,15.0,,50.0,56.0,41.0,25.0,,2.0,,,,,,,,,,,,
2001,30.0,14.0,22.0,23.0,57.0,31.0,2.0,,,8.0,21.0,49.0,,44.0,,37.0,18.0,50.0,4.0,,,,,,,,,,
2002,30.0,22.0,31.0,23.0,14.0,8.0,18.0,15.0,56.0,2.0,,13.0,,44.0,11.0,,,,37.0,,,,,,,,,,
2003,30.0,8.0,31.0,22.0,23.0,4.0,14.0,15.0,17.0,,49.0,21.0,43.0,2.0,,,48.0,11.0,51.0,,42.0,,,,,,,,
2004,30.0,22.0,18.0,4.0,31.0,15.0,8.0,11.0,14.0,,21.0,13.0,17.0,42.0,,2.0,,,10.0,47.0,35.0,,,,,,,,
2005,4.0,8.0,30.0,31.0,21.0,23.0,15.0,22.0,18.0,17.0,2.0,14.0,13.0,32.0,,33.0,25.0,39.0,27.0,,40.0,42.0,11.0,,19.0,,,,
2006,4.0,30.0,13.0,21.0,8.0,18.0,22.0,31.0,2.0,23.0,37.0,15.0,14.0,17.0,,9.0,3.0,32.0,24.0,11.0,,,,,,,,,
2007,8.0,1.0,,13.0,2.0,9.0,5.0,21.0,3.0,14.0,25.0,17.0,15.0,18.0,,23.0,11.0,24.0,16.0,6.0,,,,,,,,,
2008,1.0,13.0,8.0,,4.0,2.0,5.0,20.0,15.0,10.0,17.0,12.0,3.0,22.0,6.0,14.0,7.0,18.0,11.0,,,,,,,,,,
2009,18.0,20.0,22.0,17.0,1.0,8.0,3.0,15.0,4.0,10.0,5.0,,2.0,9.0,21.0,67.0,16.0,155.0,7.0,6.0,,,,,,,,,
2010,20.0,4.0,17.0,1.0,18.0,13.0,3.0,9.0,30.0,16.0,,155.0,808.0,807.0,24.0,67.0,2.0,,153.0,5.0,,,,,,,,,
2011,20.0,18.0,17.0,4.0,1.0,13.0,3.0,30.0,16.0,808.0,2.0,155.0,814.0,153.0,67.0,815.0,22.0,811.0,813.0,5.0,,,,,,,,,
2012,20.0,4.0,8.0,1.0,18.0,17.0,13.0,154.0,3.0,815.0,807.0,155.0,30.0,814.0,813.0,811.0,818.0,817.0,5.0,,,,,,,,,,
2013,20.0,4.0,17.0,1.0,8.0,3.0,154.0,13.0,18.0,807.0,815.0,814.0,16.0,817.0,818.0,821.0,822.0,813.0,5.0,,,,,,,,,,
2014,1.0,3.0,817.0,822.0,20.0,4.0,13.0,18.0,807.0,815.0,8.0,,818.0,154.0,,813.0,,16.0,,,,,,,,,,,
2015,1.0,3.0,20.0,8.0,822.0,13.0,826.0,817.0,815.0,807.0,154.0,830.0,813.0,,832.0,18.0,4.0,828.0,825.0,,,,,,,,,,
2016,3.0,1.0,817.0,20.0,830.0,8.0,815.0,822.0,807.0,4.0,13.0,832.0,154.0,826.0,18.0,825.0,831.0,835.0,,,821.0,,,,,,,,
2017,1.0,20.0,822.0,8.0,817.0,830.0,815.0,839.0,832.0,13.0,,840.0,154.0,825.0,4.0,838.0,835.0,826.0,,18.0,,,,,,,,,
2018,1.0,20.0,8.0,830.0,822.0,817.0,807.0,815.0,825.0,832.0,4.0,839.0,844.0,154.0,842.0,838.0,828.0,840.0,843.0,845.0,,,,,,,,,
2019,1.0,822.0,830.0,844.0,20.0,832.0,842.0,848.0,817.0,815.0,846.0,8.0,807.0,,840.0,825.0,841.0,154.0,9.0,847.0,,,,,,,,,
2020,1.0,822.0,830.0,815.0,817.0,832.0,,844.0,846.0,840.0,,839.0,20.0,826.0,807.0,8.0,,847.0,154.0,825.0,849.0,,,,,,,,
2021,830.0,1.0,822.0,815.0,832.0,846.0,844.0,817.0,842.0,4.0,839.0,20.0,840.0,852.0,847.0,8.0,849.0,841.0,9.0,,,,,,,,,,
2022,830.0,844.0,815.0,847.0,832.0,1.0,846.0,839.0,4.0,822.0,20.0,,825.0,842.0,840.0,852.0,,855.0,848.0,849.0,,807.0,,,,,,,
2023,830.0,815.0,4.0,1.0,844.0,,832.0,846.0,840.0,839.0,857.0,842.0,848.0,807.0,822.0,855.0,852.0,825.0,817.0,,,,,,,,,,
