constructorId,years_points_places
1,"[{""year"":1968,""points"":0.0,""place"":11,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1971,""points"":10.0,""place"":6,""accumulated_points"":10.0,""num_first_places"":0},{""year"":1972,""points"":47.0,""place"":3,""accumulated_points"":57.0,""num_first_places"":0},{""year"":1973,""points"":58.0,""place"":3,""accumulated_points"":115.0,""num_first_places"":0},{""year"":1974,""points"":73.0,""place"":1,""accumulated_points"":188.0,""num_first_places"":1},{""year"":1975,""points"":53.0,""place"":3,""accumulated_points"":241.0,""num_first_places"":1},{""year"":1976,""points"":74.0,""place"":2,""accumulated_points"":315.0,""num_first_places"":1},{""year"":1977,""points"":60.0,""place"":3,""accumulated_points"":375.0,""num_first_places"":1},{""year"":1978,""points"":15.0,""place"":8,""accumulated_points"":390.0,""num_first_places"":1},{""year"":1979,""points"":15.0,""place"":7,""accumulated_points"":405.0,""num_first_places"":1},{""year"":1980,""points"":11.0,""place"":7,""accumulated_points"":416.0,""num_first_places"":1},{""year"":1981,""points"":28.0,""place"":6,""accumulated_points"":444.0,""num_first_places"":1},{""year"":1982,""points"":69.0,""place"":2,""accumulated_points"":513.0,""num_first_places"":1},{""year"":1983,""points"":34.0,""place"":5,""accumulated_points"":547.0,""num_first_places"":1},{""year"":1984,""points"":143.5,""place"":1,""accumulated_points"":690.5,""num_first_places"":2},{""year"":1985,""points"":90.0,""place"":1,""accumulated_points"":780.5,""num_first_places"":3},{""year"":1986,""points"":96.0,""place"":2,""accumulated_points"":876.5,""num_first_places"":3},{""year"":1987,""points"":76.0,""place"":2,""accumulated_points"":952.5,""num_first_places"":3},{""year"":1988,""points"":199.0,""place"":1,""accumulated_points"":1151.5,""num_first_places"":4},{""year"":1989,""points"":141.0,""place"":1,""accumulated_points"":1292.5,""num_first_places"":5},{""year"":1990,""points"":121.0,""place"":1,""accumulated_points"":1413.5,""num_first_places"":6},{""year"":1991,""points"":139.0,""place"":1,""accumulated_points"":1552.5,""num_first_places"":7},{""year"":1992,""points"":99.0,""place"":2,""accumulated_points"":1651.5,""num_first_places"":7},{""year"":1993,""points"":84.0,""place"":2,""accumulated_points"":1735.5,""num_first_places"":7},{""year"":1994,""points"":42.0,""place"":4,""accumulated_points"":1777.5,""num_first_places"":7},{""year"":1995,""points"":30.0,""place"":4,""accumulated_points"":1807.5,""num_first_places"":7},{""year"":1996,""points"":49.0,""place"":4,""accumulated_points"":1856.5,""num_first_places"":7},{""year"":1997,""points"":63.0,""place"":4,""accumulated_points"":1919.5,""num_first_places"":7},{""year"":1998,""points"":156.0,""place"":1,""accumulated_points"":2075.5,""num_first_places"":8},{""year"":1999,""points"":124.0,""place"":2,""accumulated_points"":2199.5,""num_first_places"":8},{""year"":2000,""points"":162.0,""place"":2,""accumulated_points"":2361.5,""num_first_places"":8},{""year"":2001,""points"":102.0,""place"":2,""accumulated_points"":2463.5,""num_first_places"":8},{""year"":2002,""points"":65.0,""place"":3,""accumulated_points"":2528.5,""num_first_places"":8},{""year"":2003,""points"":142.0,""place"":3,""accumulated_points"":2670.5,""num_first_places"":8},{""year"":2004,""points"":69.0,""place"":5,""accumulated_points"":2739.5,""num_first_places"":8},{""year"":2005,""points"":182.0,""place"":2,""accumulated_points"":2921.5,""num_first_places"":8},{""year"":2006,""points"":110.0,""place"":3,""accumulated_points"":3031.5,""num_first_places"":8},{""year"":2007,""points"":218.0,""place"":1,""accumulated_points"":3249.5,""num_first_places"":8},{""year"":2008,""points"":151.0,""place"":2,""accumulated_points"":3400.5,""num_first_places"":8},{""year"":2009,""points"":71.0,""place"":3,""accumulated_points"":3471.5,""num_first_places"":8},{""year"":2010,""points"":454.0,""place"":2,""accumulated_points"":3925.5,""num_first_places"":8},{""year"":2011,""points"":497.0,""place"":2,""accumulated_points"":4422.5,""num_first_places"":8},{""year"":2012,""points"":378.0,""place"":3,""accumulated_points"":4800.5,""num_first_places"":8},{""year"":2013,""points"":122.0,""place"":5,""accumulated_points"":4922.5,""num_first_places"":8},{""year"":2014,""points"":181.0,""place"":5,""accumulated_points"":5103.5,""num_first_places"":8},{""year"":2015,""points"":27.0,""place"":9,""accumulated_points"":5130.5,""num_first_places"":8},{""year"":2016,""points"":76.0,""place"":6,""accumulated_points"":5206.5,""num_first_places"":8},{""year"":2017,""points"":30.0,""place"":9,""accumulated_points"":5236.5,""num_first_places"":8},{""year"":2018,""points"":62.0,""place"":6,""accumulated_points"":5298.5,""num_first_places"":8},{""year"":2019,""points"":145.0,""place"":4,""accumulated_points"":5443.5,""num_first_places"":8},{""year"":2020,""points"":202.0,""place"":3,""accumulated_points"":5645.5,""num_first_places"":8},{""year"":2021,""points"":275.0,""place"":4,""accumulated_points"":5920.5,""num_first_places"":8},{""year"":2022,""points"":159.0,""place"":5,""accumulated_points"":6079.5,""num_first_places"":8}]"
2,"[{""year"":2006,""points"":36.0,""place"":5,""accumulated_points"":36.0,""num_first_places"":0},{""year"":2007,""points"":101.0,""place"":3,""accumulated_points"":137.0,""num_first_places"":0},{""year"":2008,""points"":135.0,""place"":3,""accumulated_points"":272.0,""num_first_places"":0},{""year"":2009,""points"":36.0,""place"":6,""accumulated_points"":308.0,""num_first_places"":0}]"
3,"[{""year"":1975,""points"":6.0,""place"":9,""accumulated_points"":6.0,""num_first_places"":0},{""year"":1976,""points"":0.0,""place"":14,""accumulated_points"":6.0,""num_first_places"":0},{""year"":1978,""points"":11.0,""place"":9,""accumulated_points"":17.0,""num_first_places"":0},{""year"":1979,""points"":75.0,""place"":2,""accumulated_points"":92.0,""num_first_places"":0},{""year"":1980,""points"":120.0,""place"":1,""accumulated_points"":212.0,""num_first_places"":1},{""year"":1981,""points"":95.0,""place"":1,""accumulated_points"":307.0,""num_first_places"":2},{""year"":1982,""points"":58.0,""place"":4,""accumulated_points"":365.0,""num_first_places"":2},{""year"":1983,""points"":38.0,""place"":4,""accumulated_points"":403.0,""num_first_places"":2},{""year"":1984,""points"":25.5,""place"":6,""accumulated_points"":428.5,""num_first_places"":2},{""year"":1985,""points"":71.0,""place"":3,""accumulated_points"":499.5,""num_first_places"":2},{""year"":1986,""points"":141.0,""place"":1,""accumulated_points"":640.5,""num_first_places"":3},{""year"":1987,""points"":137.0,""place"":1,""accumulated_points"":777.5,""num_first_places"":4},{""year"":1988,""points"":20.0,""place"":7,""accumulated_points"":797.5,""num_first_places"":4},{""year"":1989,""points"":77.0,""place"":2,""accumulated_points"":874.5,""num_first_places"":4},{""year"":1990,""points"":57.0,""place"":4,""accumulated_points"":931.5,""num_first_places"":4},{""year"":1991,""points"":125.0,""place"":2,""accumulated_points"":1056.5,""num_first_places"":4},{""year"":1992,""points"":164.0,""place"":1,""accumulated_points"":1220.5,""num_first_places"":5},{""year"":1993,""points"":168.0,""place"":1,""accumulated_points"":1388.5,""num_first_places"":6},{""year"":1994,""points"":118.0,""place"":1,""accumulated_points"":1506.5,""num_first_places"":7},{""year"":1995,""points"":118.0,""place"":2,""accumulated_points"":1624.5,""num_first_places"":7},{""year"":1996,""points"":175.0,""place"":1,""accumulated_points"":1799.5,""num_first_places"":8},{""year"":1997,""points"":123.0,""place"":1,""accumulated_points"":1922.5,""num_first_places"":9},{""year"":1998,""points"":38.0,""place"":3,""accumulated_points"":1960.5,""num_first_places"":9},{""year"":1999,""points"":35.0,""place"":5,""accumulated_points"":1995.5,""num_first_places"":9},{""year"":2000,""points"":36.0,""place"":3,""accumulated_points"":2031.5,""num_first_places"":9},{""year"":2001,""points"":80.0,""place"":3,""accumulated_points"":2111.5,""num_first_places"":9},{""year"":2002,""points"":92.0,""place"":2,""accumulated_points"":2203.5,""num_first_places"":9},{""year"":2003,""points"":144.0,""place"":2,""accumulated_points"":2347.5,""num_first_places"":9},{""year"":2004,""points"":88.0,""place"":4,""accumulated_points"":2435.5,""num_first_places"":9},{""year"":2005,""points"":66.0,""place"":5,""accumulated_points"":2501.5,""num_first_places"":9},{""year"":2006,""points"":11.0,""place"":8,""accumulated_points"":2512.5,""num_first_places"":9},{""year"":2007,""points"":33.0,""place"":5,""accumulated_points"":2545.5,""num_first_places"":9},{""year"":2008,""points"":26.0,""place"":8,""accumulated_points"":2571.5,""num_first_places"":9},{""year"":2009,""points"":34.5,""place"":7,""accumulated_points"":2606.0,""num_first_places"":9},{""year"":2010,""points"":69.0,""place"":6,""accumulated_points"":2675.0,""num_first_places"":9},{""year"":2011,""points"":5.0,""place"":9,""accumulated_points"":2680.0,""num_first_places"":9},{""year"":2012,""points"":76.0,""place"":8,""accumulated_points"":2756.0,""num_first_places"":9},{""year"":2013,""points"":5.0,""place"":9,""accumulated_points"":2761.0,""num_first_places"":9},{""year"":2014,""points"":320.0,""place"":3,""accumulated_points"":3081.0,""num_first_places"":9},{""year"":2015,""points"":257.0,""place"":3,""accumulated_points"":3338.0,""num_first_places"":9},{""year"":2016,""points"":138.0,""place"":5,""accumulated_points"":3476.0,""num_first_places"":9},{""year"":2017,""points"":83.0,""place"":5,""accumulated_points"":3559.0,""num_first_places"":9},{""year"":2018,""points"":7.0,""place"":10,""accumulated_points"":3566.0,""num_first_places"":9},{""year"":2019,""points"":1.0,""place"":10,""accumulated_points"":3567.0,""num_first_places"":9},{""year"":2020,""points"":0.0,""place"":10,""accumulated_points"":3567.0,""num_first_places"":9},{""year"":2021,""points"":23.0,""place"":8,""accumulated_points"":3590.0,""num_first_places"":9},{""year"":2022,""points"":8.0,""place"":10,""accumulated_points"":3598.0,""num_first_places"":9}]"
4,"[{""year"":1977,""points"":0.0,""place"":13,""accumulated_points"":0.0,""num_first_places"":0},{""year"":1978,""points"":3.0,""place"":12,""accumulated_points"":3.0,""num_first_places"":0},{""year"":1979,""points"":26.0,""place"":6,""accumulated_points"":29.0,""num_first_places"":0},{""year"":1980,""points"":38.0,""place"":4,""accumulated_points"":67.0,""num_first_places"":0},{""year"":1981,""points"":54.0,""place"":3,""accumulated_points"":121.0,""num_first_places"":0},{""year"":1982,""points"":62.0,""place"":3,""accumulated_points"":183.0,""num_first_places"":0},{""year"":1983,""points"":79.0,""place"":2,""accumulated_points"":262.0,""num_first_places"":0},{""year"":1984,""points"":34.0,""place"":5,""accumulated_points"":296.0,""num_first_places"":0},{""year"":1985,""points"":16.0,""place"":7,""accumulated_points"":312.0,""num_first_places"":0},{""year"":2002,""points"":23.0,""place"":4,""accumulated_points"":335.0,""num_first_places"":0},{""year"":2003,""points"":88.0,""place"":4,""accumulated_points"":423.0,""num_first_places"":0},{""year"":2004,""points"":105.0,""place"":3,""accumulated_points"":528.0,""num_first_places"":0},{""year"":2005,""points"":191.0,""place"":1,""accumulated_points"":719.0,""num_first_places"":1},{""year"":2006,""points"":206.0,""place"":1,""accumulated_points"":925.0,""num_first_places"":2},{""year"":2007,""points"":51.0,""place"":4,""accumulated_points"":976.0,""num_first_places"":2},{""year"":2008,""points"":80.0,""place"":4,""accumulated_points"":1056.0,""num_first_places"":2},{""year"":2009,""points"":26.0,""place"":8,""accumulated_points"":1082.0,""num_first_places"":2},{""year"":2010,""points"":163.0,""place"":5,""accumulated_points"":1245.0,""num_first_places"":2},{""year"":2011,""points"":73.0,""place"":5,""accumulated_points"":1318.0,""num_first_places"":2},{""year"":2016,""points"":8.0,""place"":9,""accumulated_points"":1326.0,""num_first_places"":2},{""year"":2017,""points"":57.0,""place"":6,""accumulated_points"":1383.0,""num_first_places"":2},{""year"":2018,""points"":122.0,""place"":4,""accumulated_points"":1505.0,""num_first_places"":2},{""year"":2019,""points"":91.0,""place"":5,""accumulated_points"":1596.0,""num_first_places"":2},{""year"":2020,""points"":181.0,""place"":5,""accumulated_points"":1777.0,""num_first_places"":2}]"
5,"[{""year"":2006,""points"":1.0,""place"":9,""accumulated_points"":1.0,""num_first_places"":0},{""year"":2007,""points"":8.0,""place"":8,""accumulated_points"":9.0,""num_first_places"":0},{""year"":2008,""points"":39.0,""place"":6,""accumulated_points"":48.0,""num_first_places"":0},{""year"":2009,""points"":8.0,""place"":10,""accumulated_points"":56.0,""num_first_places"":0},{""year"":2010,""points"":13.0,""place"":9,""accumulated_points"":69.0,""num_first_places"":0},{""year"":2011,""points"":41.0,""place"":8,""accumulated_points"":110.0,""num_first_places"":0},{""year"":2012,""points"":26.0,""place"":9,""accumulated_points"":136.0,""num_first_places"":0},{""year"":2013,""points"":33.0,""place"":8,""accumulated_points"":169.0,""num_first_places"":0},{""year"":2014,""points"":30.0,""place"":7,""accumulated_points"":199.0,""num_first_places"":0},{""year"":2015,""points"":67.0,""place"":7,""accumulated_points"":266.0,""num_first_places"":0},{""year"":2016,""points"":63.0,""place"":7,""accumulated_points"":329.0,""num_first_places"":0},{""year"":2017,""points"":53.0,""place"":7,""accumulated_points"":382.0,""num_first_places"":0},{""year"":2018,""points"":33.0,""place"":9,""accumulated_points"":415.0,""num_first_places"":0},{""year"":2019,""points"":85.0,""place"":6,""accumulated_points"":500.0,""num_first_places"":0}]"
6,"[{""year"":1958,""points"":40.0,""place"":2,""accumulated_points"":40.0,""num_first_places"":0},{""year"":1959,""points"":32.0,""place"":2,""accumulated_points"":72.0,""num_first_places"":0},{""year"":1960,""points"":26.0,""place"":3,""accumulated_points"":98.0,""num_first_places"":0},{""year"":1961,""points"":45.0,""place"":1,""accumulated_points"":143.0,""num_first_places"":1},{""year"":1962,""points"":18.0,""place"":5,""accumulated_points"":161.0,""num_first_places"":1},{""year"":1963,""points"":26.0,""place"":4,""accumulated_points"":187.0,""num_first_places"":1},{""year"":1964,""points"":45.0,""place"":1,""accumulated_points"":232.0,""num_first_places"":2},{""year"":1965,""points"":26.0,""place"":4,""accumulated_points"":258.0,""num_first_places"":2},{""year"":1966,""points"":31.0,""place"":2,""accumulated_points"":289.0,""num_first_places"":2},{""year"":1967,""points"":20.0,""place"":4,""accumulated_points"":309.0,""num_first_places"":2},{""year"":1968,""points"":32.0,""place"":4,""accumulated_points"":341.0,""num_first_places"":2},{""year"":1969,""points"":7.0,""place"":5,""accumulated_points"":348.0,""num_first_places"":2},{""year"":1970,""points"":52.0,""place"":2,""accumulated_points"":400.0,""num_first_places"":2},{""year"":1971,""points"":33.0,""place"":3,""accumulated_points"":433.0,""num_first_places"":2},{""year"":1972,""points"":33.0,""place"":4,""accumulated_points"":466.0,""num_first_places"":2},{""year"":1973,""points"":12.0,""place"":6,""accumulated_points"":478.0,""num_first_places"":2},{""year"":1974,""points"":65.0,""place"":2,""accumulated_points"":543.0,""num_first_places"":2},{""year"":1975,""points"":72.5,""place"":1,""accumulated_points"":615.5,""num_first_places"":3},{""year"":1976,""points"":83.0,""place"":1,""accumulated_points"":698.5,""num_first_places"":4},{""year"":1977,""points"":95.0,""place"":1,""accumulated_points"":793.5,""num_first_places"":5},{""year"":1978,""points"":58.0,""place"":2,""accumulated_points"":851.5,""num_first_places"":5},{""year"":1979,""points"":113.0,""place"":1,""accumulated_points"":964.5,""num_first_places"":6},{""year"":1980,""points"":8.0,""place"":10,""accumulated_points"":972.5,""num_first_places"":6},{""year"":1981,""points"":34.0,""place"":5,""accumulated_points"":1006.5,""num_first_places"":6},{""year"":1982,""points"":74.0,""place"":1,""accumulated_points"":1080.5,""num_first_places"":7},{""year"":1983,""points"":89.0,""place"":1,""accumulated_points"":1169.5,""num_first_places"":8},{""year"":1984,""points"":57.5,""place"":2,""accumulated_points"":1227.0,""num_first_places"":8},{""year"":1985,""points"":82.0,""place"":2,""accumulated_points"":1309.0,""num_first_places"":8},{""year"":1986,""points"":37.0,""place"":4,""accumulated_points"":1346.0,""num_first_places"":8},{""year"":1987,""points"":53.0,""place"":4,""accumulated_points"":1399.0,""num_first_places"":8},{""year"":1988,""points"":65.0,""place"":2,""accumulated_points"":1464.0,""num_first_places"":8},{""year"":1989,""points"":59.0,""place"":3,""accumulated_points"":1523.0,""num_first_places"":8},{""year"":1990,""points"":110.0,""place"":2,""accumulated_points"":1633.0,""num_first_places"":8},{""year"":1991,""points"":55.5,""place"":3,""accumulated_points"":1688.5,""num_first_places"":8},{""year"":1992,""points"":21.0,""place"":4,""accumulated_points"":1709.5,""num_first_places"":8},{""year"":1993,""points"":28.0,""place"":4,""accumulated_points"":1737.5,""num_first_places"":8},{""year"":1994,""points"":71.0,""place"":3,""accumulated_points"":1808.5,""num_first_places"":8},{""year"":1995,""points"":73.0,""place"":3,""accumulated_points"":1881.5,""num_first_places"":8},{""year"":1996,""points"":70.0,""place"":2,""accumulated_points"":1951.5,""num_first_places"":8},{""year"":1997,""points"":102.0,""place"":2,""accumulated_points"":2053.5,""num_first_places"":8},{""year"":1998,""points"":133.0,""place"":2,""accumulated_points"":2186.5,""num_first_places"":8},{""year"":1999,""points"":128.0,""place"":1,""accumulated_points"":2314.5,""num_first_places"":9},{""year"":2000,""points"":170.0,""place"":1,""accumulated_points"":2484.5,""num_first_places"":10},{""year"":2001,""points"":179.0,""place"":1,""accumulated_points"":2663.5,""num_first_places"":11},{""year"":2002,""points"":221.0,""place"":1,""accumulated_points"":2884.5,""num_first_places"":12},{""year"":2003,""points"":158.0,""place"":1,""accumulated_points"":3042.5,""num_first_places"":13},{""year"":2004,""points"":262.0,""place"":1,""accumulated_points"":3304.5,""num_first_places"":14},{""year"":2005,""points"":100.0,""place"":3,""accumulated_points"":3404.5,""num_first_places"":14},{""year"":2006,""points"":201.0,""place"":2,""accumulated_points"":3605.5,""num_first_places"":14},{""year"":2007,""points"":204.0,""place"":2,""accumulated_points"":3809.5,""num_first_places"":15},{""year"":2008,""points"":172.0,""place"":1,""accumulated_points"":3981.5,""num_first_places"":16},{""year"":2009,""points"":70.0,""place"":4,""accumulated_points"":4051.5,""num_first_places"":16},{""year"":2010,""points"":396.0,""place"":3,""accumulated_points"":4447.5,""num_first_places"":16},{""year"":2011,""points"":375.0,""place"":3,""accumulated_points"":4822.5,""num_first_places"":16},{""year"":2012,""points"":400.0,""place"":2,""accumulated_points"":5222.5,""num_first_places"":16},{""year"":2013,""points"":354.0,""place"":3,""accumulated_points"":5576.5,""num_first_places"":16},{""year"":2014,""points"":216.0,""place"":4,""accumulated_points"":5792.5,""num_first_places"":16},{""year"":2015,""points"":428.0,""place"":2,""accumulated_points"":6220.5,""num_first_places"":16},{""year"":2016,""points"":398.0,""place"":3,""accumulated_points"":6618.5,""num_first_places"":16},{""year"":2017,""points"":522.0,""place"":2,""accumulated_points"":7140.5,""num_first_places"":16},{""year"":2018,""points"":571.0,""place"":2,""accumulated_points"":7711.5,""num_first_places"":16},{""year"":2019,""points"":504.0,""place"":2,""accumulated_points"":8215.5,""num_first_places"":16},{""year"":2020,""points"":131.0,""place"":6,""accumulated_points"":8346.5,""num_first_places"":16},{""year"":2021,""points"":323.5,""place"":3,""accumulated_points"":8670.0,""num_first_places"":16},{""year"":2022,""points"":554.0,""place"":2,""accumulated_points"":9224.0,""num_first_places"":16}]"
7,"[{""year"":2002,""points"":2.0,""place"":9,""accumulated_points"":2.0,""num_first_places"":0},{""year"":2003,""points"":16.0,""place"":8,""accumulated_points"":18.0,""num_first_places"":0},{""year"":2004,""points"":9.0,""place"":8,""accumulated_points"":27.0,""num_first_places"":0},{""year"":2005,""points"":88.0,""place"":4,""accumulated_points"":115.0,""num_first_places"":0},{""year"":2006,""points"":35.0,""place"":6,""accumulated_points"":150.0,""num_first_places"":0},{""year"":2007,""points"":13.0,""place"":7,""accumulated_points"":163.0,""num_first_places"":0},{""year"":2008,""points"":56.0,""place"":5,""accumulated_points"":219.0,""num_first_places"":0},{""year"":2009,""points"":59.5,""place"":5,""accumulated_points"":278.5,""num_first_places"":0}]"
8,"[{""year"":2006,""points"":0.0,""place"":10,""accumulated_points"":0.0,""num_first_places"":0},{""year"":2007,""points"":4.0,""place"":10,""accumulated_points"":4.0,""num_first_places"":0},{""year"":2008,""points"":0.0,""place"":10,""accumulated_points"":4.0,""num_first_places"":0}]"
9,"[{""year"":2005,""points"":34.0,""place"":7,""accumulated_points"":34.0,""num_first_places"":0},{""year"":2006,""points"":16.0,""place"":7,""accumulated_points"":50.0,""num_first_places"":0},{""year"":2007,""points"":24.0,""place"":6,""accumulated_points"":74.0,""num_first_places"":0},{""year"":2008,""points"":29.0,""place"":7,""accumulated_points"":103.0,""num_first_places"":0},{""year"":2009,""points"":153.5,""place"":2,""accumulated_points"":256.5,""num_first_places"":0},{""year"":2010,""points"":498.0,""place"":1,""accumulated_points"":754.5,""num_first_places"":1},{""year"":2011,""points"":650.0,""place"":1,""accumulated_points"":1404.5,""num_first_places"":2},{""year"":2012,""points"":460.0,""place"":1,""accumulated_points"":1864.5,""num_first_places"":3},{""year"":2013,""points"":596.0,""place"":1,""accumulated_points"":2460.5,""num_first_places"":4},{""year"":2014,""points"":405.0,""place"":2,""accumulated_points"":2865.5,""num_first_places"":4},{""year"":2015,""points"":187.0,""place"":4,""accumulated_points"":3052.5,""num_first_places"":4},{""year"":2016,""points"":468.0,""place"":2,""accumulated_points"":3520.5,""num_first_places"":4},{""year"":2017,""points"":368.0,""place"":3,""accumulated_points"":3888.5,""num_first_places"":4},{""year"":2018,""points"":419.0,""place"":3,""accumulated_points"":4307.5,""num_first_places"":4},{""year"":2019,""points"":417.0,""place"":3,""accumulated_points"":4724.5,""num_first_places"":4},{""year"":2020,""points"":319.0,""place"":2,""accumulated_points"":5043.5,""num_first_places"":4},{""year"":2021,""points"":585.5,""place"":2,""accumulated_points"":5629.0,""num_first_places"":4},{""year"":2022,""points"":759.0,""place"":1,""accumulated_points"":6388.0,""num_first_places"":5}]"
10,"[{""year"":2008,""points"":0.0,""place"":10,""accumulated_points"":0.0,""num_first_places"":0},{""year"":2009,""points"":13.0,""place"":9,""accumulated_points"":13.0,""num_first_places"":0},{""year"":2010,""points"":68.0,""place"":7,""accumulated_points"":81.0,""num_first_places"":0},{""year"":2011,""points"":69.0,""place"":6,""accumulated_points"":150.0,""num_first_places"":0},{""year"":2012,""points"":109.0,""place"":7,""accumulated_points"":259.0,""num_first_places"":0},{""year"":2013,""points"":77.0,""place"":6,""accumulated_points"":336.0,""num_first_places"":0},{""year"":2014,""points"":155.0,""place"":6,""accumulated_points"":491.0,""num_first_places"":0},{""year"":2015,""points"":136.0,""place"":5,""accumulated_points"":627.0,""num_first_places"":0},{""year"":2016,""points"":173.0,""place"":4,""accumulated_points"":800.0,""num_first_places"":0},{""year"":2017,""points"":187.0,""place"":4,""accumulated_points"":987.0,""num_first_places"":0},{""year"":2018,""points"":52.0,""place"":7,""accumulated_points"":1039.0,""num_first_places"":0}]"
