year,driverId,points,wins
2009,8,0.0,0
2009,9,0.0,0
2009,20,0.0,0
2009,17,0.0,0
2009,21,0.0,0
2009,2,0.0,0
2009,16,0.0,0
2009,7,1.0,0
2009,67,2.0,0
2009,3,3.0,0
2009,4,4.0,0
2009,10,5.0,0
2009,15,6.0,0
2009,22,8.0,0
2009,18,10.0,1
2009,5,0.0,0
2009,6,0.0,0
2009,12,0.0,0
2009,13,0.0,0
2009,8,0.0,0
2009,9,0.0,0
2009,20,0.0,0
2009,17,1.5,0
2009,21,0.0,0
2009,2,4.0,0
2009,16,0.0,0
2009,7,1.0,0
2009,67,2.0,0
2009,3,3.5,0
2009,4,4.0,0
2009,10,8.0,0
2009,15,8.5,0
2009,22,10.0,0
2009,18,15.0,2
2009,1,1.0,0
2009,10,10.0,0
2009,5,4.0,0
2009,1,4.0,0
2009,6,0.0,0
2009,12,0.0,0
2009,13,0.0,0
2009,8,0.0,0
2009,9,0.0,0
2009,20,10.0,1
2009,67,3.0,0
2009,7,1.0,0
2009,16,0.0,0
2009,2,4.0,0
2009,21,0.0,0
2009,17,9.5,0
2009,3,3.5,0
2009,4,4.0,0
2009,15,8.5,0
2009,18,21.0,2
2009,22,15.0,0
2009,5,4.0,0
2009,6,0.0,0
2009,12,0.0,0
2009,13,0.0,0
2009,8,3.0,0
2009,9,0.0,0
2009,20,18.0,1
2009,21,0.0,0
2009,2,4.0,0
2009,16,0.0,0
2009,7,1.0,0
2009,67,3.0,0
2009,3,3.5,0
2009,10,12.0,0
2009,22,19.0,0
2009,1,9.0,0
2009,17,9.5,0
2009,18,31.0,3
2009,15,14.5,0
2009,4,5.0,0
2009,18,41.0,4
2009,22,27.0,0
2009,15,14.5,0
2009,10,12.0,0
2009,4,9.0,0
2009,3,4.5,0
2009,67,3.0,0
2009,7,1.0,0
2009,16,0.0,0
2009,2,6.0,0
2009,21,0.0,0
2009,17,15.5,0
2009,20,23.0,1
2009,9,0.0,0
2009,8,3.0,0
2009,13,3.0,0
2009,12,0.0,0
2009,6,0.0,0
2009,5,4.0,0
2009,1,9.0,0
2009,13,8.0,0
2009,12,0.0,0
2009,1,9.0,0
2009,18,51.0,5
2009,5,4.0,0
2009,6,0.0,0
2009,8,9.0,0
2009,9,0.0,0
2009,20,23.0,1
2009,17,19.5,0
2009,21,0.0,0
2009,2,6.0,0
2009,16,0.0,0
2009,7,2.0,0
2009,3,7.5,0
2009,67,3.0,0
2009,4,11.0,0
2009,10,12.0,0
2009,15,14.5,0
2009,22,35.0,0
2009,1,9.0,0
2009,5,4.0,0
2009,6,0.0,0
2009,12,0.0,0
2009,8,9.0,0
2009,9,2.0,0
2009,17,27.5,0
2009,2,6.0,0
2009,7,2.0,0
2009,10,13.0,0
2009,22,35.0,0
2009,20,29.0,1
2009,67,3.0,0
2009,16,0.0,0
2009,18,61.0,6
2009,15,19.5,0
2009,21,0.0,0
2009,13,11.0,0
2009,3,11.5,0
2009,4,11.0,0
2009,1,9.0,0
2009,5,4.0,0
2009,6,0.0,0
2009,12,0.0,0
2009,8,10.0,0
2009,9,2.0,0
2009,17,35.5,0
2009,2,6.0,0
2009,7,2.0,0
2009,10,13.0,0
2009,22,41.0,0
2009,20,39.0,2
2009,67,3.0,0
2009,16,0.0,0
2009,18,64.0,6
2009,15,21.5,0
2009,21,0.0,0
2009,13,16.0,0
2009,3,15.5,0
2009,4,11.0,0
2009,18,68.0,6
2009,22,44.0,0
2009,15,21.5,0
2009,10,13.0,0
2009,4,13.0,0
2009,3,20.5,0
2009,67,3.0,0
2009,7,2.0,0
2009,16,0.0,0
2009,2,6.0,0
2009,21,0.0,0
2009,17,45.5,1
2009,20,47.0,2
2009,9,2.0,0
2009,8,10.0,0
2009,13,22.0,0
2009,12,0.0,0
2009,6,0.0,0
2009,5,5.0,0
2009,1,9.0,0
2009,18,70.0,6
2009,22,44.0,0
2009,15,22.5,0
2009,10,16.0,0
2009,4,13.0,0
2009,3,25.5,0
2009,67,3.0,0
2009,7,2.0,0
2009,16,0.0,0
2009,2,6.0,0
2009,21,0.0,0
2009,17,51.5,1
2009,20,47.0,2
2009,9,2.0,0
2009,8,18.0,0
2009,13,22.0,0
2009,12,0.0,0
2009,6,0.0,0
2009,5,9.0,0
2009,1,19.0,1
2009,153,0.0,0
2009,18,72.0,6
2009,22,54.0,1
2009,15,22.5,0
2009,10,16.0,0
2009,4,16.0,0
2009,3,29.5,0
2009,67,3.0,0
2009,7,2.0,0
2009,16,0.0,0
2009,2,6.0,0
2009,21,0.0,0
2009,17,51.5,1
2009,20,47.0,2
2009,9,3.0,0
2009,8,24.0,0
2009,13,22.0,0
2009,12,0.0,0
2009,6,0.0,0
2009,5,14.0,0
2009,1,27.0,1
2009,153,0.0,0
2009,154,0.0,0
2009,69,0.0,0
2009,18,72.0,6
2009,22,56.0,1
2009,15,22.5,0
2009,10,16.0,0
2009,4,16.0,0
2009,3,30.5,0
2009,67,3.0,0
2009,7,2.0,0
2009,16,0.0,0
2009,2,10.0,0
2009,21,8.0,0
2009,17,51.5,1
2009,20,53.0,2
2009,9,8.0,0
2009,8,34.0,1
2009,13,22.0,0
2009,12,0.0,0
2009,6,0.0,0
2009,5,17.0,0
2009,1,27.0,1
2009,153,0.0,0
2009,154,0.0,0
2009,69,0.0,0
2009,18,80.0,6
2009,22,66.0,2
2009,15,22.5,0
2009,10,16.0,0
2009,4,20.0,0
2009,3,30.5,0
2009,67,3.0,0
2009,7,2.0,0
2009,16,5.0,0
2009,2,12.0,0
2009,21,8.0,0
2009,17,51.5,1
2009,20,54.0,2
2009,9,8.0,0
2009,8,40.0,1
2009,13,22.0,0
2009,12,0.0,0
2009,6,0.0,0
2009,5,20.0,0
2009,1,27.0,1
2009,153,0.0,0
2009,154,0.0,0
2009,69,0.0,0
2009,24,0.0,0
2009,18,84.0,6
2009,22,69.0,2
2009,15,22.5,0
2009,10,24.0,0
2009,4,26.0,0
2009,3,30.5,0
2009,67,3.0,0
2009,7,2.0,0
2009,16,5.0,0
2009,2,12.0,0
2009,21,8.0,0
2009,17,51.5,1
2009,20,59.0,2
2009,9,9.0,0
2009,8,40.0,1
2009,13,22.0,0
2009,12,0.0,0
2009,6,0.0,0
2009,5,22.0,0
2009,1,37.0,2
2009,153,0.0,0
2009,154,0.0,0
2009,69,0.0,0
2009,24,0.0,0
2009,24,0.0,0
2009,69,0.0,0
2009,154,0.0,0
2009,153,0.0,0
2009,1,43.0,2
2009,5,22.0,0
2009,6,0.0,0
2009,12,0.0,0
2009,8,45.0,1
2009,2,15.0,0
2009,7,2.0,0
2009,3,34.5,0
2009,4,26.0,0
2009,10,24.0,0
2009,15,30.5,0
2009,13,22.0,0
2009,17,51.5,1
2009,21,8.0,0
2009,67,3.0,0
2009,20,69.0,3
2009,9,9.0,0
2009,16,5.0,0
2009,18,85.0,6
2009,22,71.0,2
2009,18,89.0,6
2009,22,72.0,2
2009,15,30.5,0
2009,10,24.0,0
2009,4,26.0,0
2009,3,34.5,0
2009,67,5.0,0
2009,7,2.0,0
2009,16,5.0,0
2009,2,15.0,0
2009,21,8.0,0
2009,17,61.5,2
2009,20,74.0,3
2009,9,17.0,0
2009,8,48.0,1
2009,13,22.0,0
2009,12,0.0,0
2009,6,0.0,0
2009,5,22.0,0
2009,1,49.0,2
2009,153,0.0,0
2009,154,0.0,0
2009,69,0.0,0
2009,24,0.0,0
2009,155,0.0,0
2009,18,95.0,6
2009,22,77.0,2
2009,15,32.5,0
2009,10,24.0,0
2009,4,26.0,0
2009,3,34.5,0
2009,67,6.0,0
2009,7,2.0,0
2009,16,5.0,0
2009,2,19.0,0
2009,21,8.0,0
2009,17,69.5,2
2009,20,84.0,4
2009,9,17.0,0
2009,8,48.0,1
