year,driverId,date_of_birth,driver_nationality,driver_points,driver_end_position,first_place_count,second_place_count,third_place_count,top_5_count,age_at_first_race_x,age_at_first_race_y,constructorId,constructor_nationality,constructor_points,constructor_place,constructor_first_place_count,constructor_second_place_count,constructor_third_place_count,constructor_top_5_count,best_performing_circuit_name,min_lap_time_diff,avg_lap_time_diff,max_lap_time_diff,median_lap_position,total_laps,min_pit_stop_time,avg_pit_time,max_pit_stop_time,most_common_pitstop_lap,most_common_starting_position,most_common_ending_position
2011,1,1985-01-07,British,227.0,5.0,1.0,1.0,0.0,5.0,22.0,22.0,1.0,British,497.0,2.0,9.0,13.0,8.0,36.0,Shanghai International Circuit,0.0,8.270088535043902,1600.1049400529946,4.0,1013.0,13173.0,22666.446428571428,35688.0,16.0,2,2
2011,2,1977-05-10,German,34.0,11.0,0.0,0.0,0.0,1.0,23.0,23.0,4.0,French,73.0,5.0,2.0,1.0,3.0,14.0,Sepang International Circuit,0.2663530388460341,31.144881723866614,9655.635687925567,10.0,564.0,20796.0,22933.32,26281.0,30.0,18,12
2011,3,1985-06-27,German,89.0,7.0,0.0,0.0,0.0,0.0,21.0,21.0,131.0,German,165.0,4.0,0.0,0.0,0.0,2.0,Shanghai International Circuit,0.04763482727197415,20.235532234025804,9647.7623577109,7.0,1036.0,19534.0,22283.85714285714,30261.0,12.0,7,Did Not Finish
2011,4,1981-07-29,Spanish,257.0,4.0,2.0,2.0,0.0,7.0,20.0,20.0,6.0,Italian,375.0,3.0,15.0,15.0,9.0,52.0,Silverstone Circuit,0.0,17.84332086240048,9651.320234939447,3.0,1098.0,19936.0,22737.09259259259,31382.0,16.0,5,4
2011,5,1981-10-19,Finnish,0.0,20.0,0.0,0.0,0.0,0.0,26.0,26.0,205.0,Malaysian,0.0,10.0,0.0,0.0,0.0,0.0,Albert Park Grand Prix Circuit,2.8259879048960315,22.53596288375859,9635.56707729092,16.0,948.0,20652.0,23796.43181818182,44037.0,26.0,19,Did Not Finish
2011,10,1982-03-18,German,0.0,20.0,0.0,0.0,0.0,0.0,22.0,22.0,166.0,British,0.0,10.0,0.0,0.0,0.0,0.0,Albert Park Grand Prix Circuit,4.689156815771904,25.754395857177894,9642.378761889911,19.0,831.0,13914.0,23470.305555555555,35092.0,16.0,21,Did Not Finish
2011,13,1981-04-25,Brazilian,118.0,6.0,0.0,1.0,1.0,3.0,21.0,21.0,6.0,Italian,375.0,3.0,15.0,15.0,9.0,52.0,Sepang International Circuit,0.0,17.862744485481112,9654.477883465877,6.0,1050.0,14919.0,23157.722222222223,32351.0,41.0,8,7
2011,15,1974-07-13,Italian,0.0,20.0,0.0,0.0,0.0,0.0,23.0,23.0,205.0,Malaysian,0.0,10.0,0.0,0.0,0.0,0.0,Albert Park Grand Prix Circuit,3.0901174830543576,24.902330711374805,9612.474660845159,18.0,915.0,20791.0,25106.5,51684.0,13.0,20,13
2011,16,1983-01-11,German,42.0,9.0,0.0,0.0,0.0,0.0,24.0,24.0,10.0,Indian,69.0,6.0,0.0,0.0,0.0,0.0,Nürburgring,1.620619666970425,20.215171351166177,9645.49092988201,10.0,1057.0,14565.0,23024.770833333332,33418.0,16.0,16,9
2011,17,1976-08-27,Australian,258.0,3.0,0.0,0.0,2.0,3.0,26.0,26.0,9.0,Austrian,650.0,1.0,2.0,1.0,0.0,3.0,Autódromo José Carlos Pace,0.0,18.537405618248652,9652.370185560581,4.0,1084.0,19525.0,22563.345454545455,37735.0,10.0,3,5
