driver_nationality,age_at_first_race,driver_first_place_count,driver_second_place_count,driver_third_place_count,driver_top_5_place_count,constructorName,constructor_nationality,constructor_first_place_count,constructor_second_place_count,constructor_third_place_count,constructor_top_5_place_count,best_performing_circuit_name,min_lap_time_diff,avg_lap_time_diff,max_lap_time_diff,median_lap_position,min_pit_stop_time,avg_pit_time,max_pit_stop_time,most_common_pitstop_lap,most_common_starting_position,most_common_ending_position
Finnish,twenty-six,zero,zero,zero,zero,Lotus F1,British,zero,zero,zero,six,Albert Park Grand Prix Circuit,50% and more,50% and more,50% and more,twelve,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Japanese,twenty-two,zero,zero,zero,zero,Williams,British,twenty-five,thirteen,eight,sixty-seven,Albert Park Grand Prix Circuit,50% and more,0-25%,25-50%,twelve,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,twenty-nine,zero,zero,zero,zero,Toro Rosso,Italian,zero,zero,zero,zero,Albert Park Grand Prix Circuit,50% and more,25-50%,0-25%,fourteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
German,twenty-two,zero,zero,zero,zero,Marussia,Russian,zero,zero,zero,zero,Albert Park Grand Prix Circuit,50% and more,50% and more,50% and more,fifteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Japanese,twenty-five,zero,zero,zero,zero,Super Aguri,Japanese,zero,zero,zero,zero,Suzuka Circuit,50% and more,50% and more,50% and more,twelve,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Brazilian,twenty-three,zero,zero,zero,zero,Renault,French,four,two,seven,twenty-six,Albert Park Grand Prix Circuit,25-50%,25-50%,0-25%,twelve,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-three,zero,zero,zero,zero,Lotus,Malaysian,zero,zero,zero,zero,Circuit de Monaco,50% and more,25-50%,50% and more,nine,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
German,twenty-four,zero,zero,zero,zero,Sauber,Swiss,zero,zero,zero,five,Albert Park Grand Prix Circuit,50% and more,50% and more,50% and more,fourteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-three,zero,zero,zero,zero,Super Aguri,Japanese,zero,zero,zero,zero,Albert Park Grand Prix Circuit,50% and more,50% and more,0-25%,sixteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-five,zero,zero,zero,zero,HRT,Spanish,zero,zero,zero,zero,Albert Park Grand Prix Circuit,50% and more,50% and more,0-25%,fifteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Austrian,twenty-three,zero,zero,zero,zero,Williams,British,twenty-five,thirteen,eight,sixty-seven,Autodromo Enzo e Dino Ferrari,50% and more,0-25%,0-25%,eight,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
American,twenty-three,zero,zero,zero,zero,Toro Rosso,Italian,zero,zero,zero,zero,Albert Park Grand Prix Circuit,50% and more,0-25%,0-25%,fourteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Dutch,twenty-six,zero,zero,zero,zero,Spyker,Dutch,zero,zero,zero,zero,Albert Park Grand Prix Circuit,50% and more,50% and more,50% and more,sixteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Japanese,twenty-four,zero,zero,zero,zero,HRT,Spanish,zero,zero,zero,zero,Hockenheimring,50% and more,50% and more,50% and more,nineteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Austrian,twenty-one,zero,zero,zero,zero,HRT,Spanish,zero,zero,zero,zero,Bahrain International Circuit,50% and more,25-50%,50% and more,fourteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Portuguese,twenty-nine,zero,zero,zero,zero,MF1,Russian,zero,zero,zero,zero,Bahrain International Circuit,50% and more,50% and more,0-25%,sixteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Japanese,thirty-one,zero,zero,zero,zero,Super Aguri,Japanese,zero,zero,zero,zero,Bahrain International Circuit,50% and more,50% and more,50% and more,eighteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,twenty-eight,zero,zero,zero,zero,Super Aguri,Japanese,zero,zero,zero,zero,Nürburgring,50% and more,50% and more,0-25%,nineteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Spanish,twenty-eight,zero,zero,zero,zero,HRT,Spanish,zero,zero,zero,zero,Albert Park Grand Prix Circuit,50% and more,25-50%,50% and more,thirteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Dutch,twenty-four,zero,zero,zero,zero,Red Bull,Austrian,zero,zero,zero,zero,Hockenheimring,50% and more,25-50%,0-25%,fifteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Indian,twenty-eight,zero,zero,zero,zero,HRT,Spanish,zero,zero,zero,zero,Albert Park Grand Prix Circuit,50% and more,50% and more,50% and more,twenty,0-25%,25-50%,25-50%,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
Austrian,twenty-five,zero,zero,zero,zero,Minardi,Italian,zero,zero,zero,zero,Indianapolis Motor Speedway,50% and more,50% and more,50% and more,eighteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Brazilian,twenty-three,zero,zero,zero,zero,Toyota,Japanese,zero,zero,zero,three,Albert Park Grand Prix Circuit,50% and more,50% and more,0-25%,nine,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Brazilian,twenty-three,zero,zero,zero,zero,Williams,British,twenty-five,thirteen,eight,sixty-four,Albert Park Grand Prix Circuit,50% and more,50% and more,25-50%,eleven,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Brazilian,thirty,zero,zero,zero,zero,Toyota,Japanese,zero,zero,zero,zero,Circuit de Barcelona-Catalunya,50% and more,25-50%,25-50%,eleven,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,twenty-eight,zero,zero,zero,zero,Toyota,Japanese,zero,zero,zero,zero,Autódromo José Carlos Pace,25-50%,50% and more,25-50%,eight,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-five,zero,zero,zero,zero,Jordan,Irish,zero,zero,two,twenty,Albert Park Grand Prix Circuit,50% and more,50% and more,25-50%,sixteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-three,zero,zero,zero,zero,Minardi,Italian,zero,zero,zero,zero,Albert Park Grand Prix Circuit,50% and more,50% and more,50% and more,eighteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Hungarian,twenty-two,zero,zero,zero,zero,Minardi,Italian,zero,zero,zero,zero,Hungaroring,50% and more,25-50%,0-25%,sixteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Spanish,twenty-five,zero,zero,zero,zero,Williams,British,twenty-five,thirteen,eight,sixty-one,Albert Park Grand Prix Circuit,50% and more,0-25%,0-25%,twelve,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Dutch,twenty-two,zero,zero,zero,zero,Minardi,Italian,zero,zero,zero,zero,Albert Park Grand Prix Circuit,50% and more,25-50%,25-50%,ten,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-five,zero,zero,zero,zero,Minardi,Italian,zero,zero,zero,zero,Indianapolis Motor Speedway,50% and more,50% and more,50% and more,fourteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Irish,twenty-eight,zero,zero,zero,zero,Jordan,Irish,zero,zero,two,twenty,Circuit de Barcelona-Catalunya,50% and more,50% and more,50% and more,fourteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Danish,twenty-five,zero,zero,zero,zero,Minardi,Italian,zero,zero,zero,zero,Hockenheimring,50% and more,50% and more,25-50%,fifteen,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
