driverId,seasons_participated,number_of_seasons
1,"[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",16
2,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011]",12
3,"[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]",11
4,"[2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2021, 2022]",19
5,"[2007, 2008, 2009, 2010, 2011, 2012, 2013]",7
6,"[2007, 2008, 2009]",3
7,"[2008, 2009]",2
8,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",19
9,"[2006, 2007, 2008, 2009, 2010, 2019, 2021]",7
10,"[2004, 2008, 2009, 2010, 2011, 2012]",6
11,"[2002, 2003, 2004, 2005, 2006, 2007, 2008]",7
12,"[2008, 2009]",2
13,"[2002, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",15
14,"[1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008]",15
15,"[1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011]",15
16,"[2007, 2008, 2009, 2010, 2011, 2013, 2014]",7
17,"[2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]",12
18,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",18
19,"[2005, 2007, 2008]",3
20,"[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",16
21,"[1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009]",14
22,"[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011]",19
23,"[1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007]",11
24,"[2005, 2006, 2007, 2009, 2010, 2011]",6
25,"[1997, 1998, 1999, 2000, 2005, 2007]",6
26,"[2006, 2007]",2
27,"[2005, 2006, 2007]",3
29,"[2006, 2007, 2010]",3
30,"[1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2010, 2011, 2012]",19
31,"[2001, 2002, 2003, 2004, 2005, 2006]",6
32,"[2004, 2005, 2006, 2010]",4
33,"[2005, 2006]",2
34,[2006],1
35,"[1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006]",11
36,[2006],1
37,"[1999, 2000, 2001, 2002, 2005, 2006, 2010, 2011, 2012]",9
38,"[2005, 2006]",2
39,"[2005, 2011, 2012]",3
40,[2005],1
41,"[1999, 2000, 2001, 2004, 2005]",5
42,"[2003, 2004, 2005]",3
43,"[2003, 2004]",2
44,"[1994, 1995, 1996, 1997, 1998, 1999, 2001, 2002, 2003, 2004]",10
45,[2004],1
46,[2004],1
47,"[2003, 2004]",2
48,"[1999, 2000, 2003, 2004]",4
49,"[1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]",10
50,"[1994, 1995, 1996, 1997, 1998, 2000, 2001, 2003]",8
51,[2003],1
52,[2003],1
53,[2003],1
54,"[2000, 2001]",2
55,"[1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001]",13
56,"[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002]",10
57,"[1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001]",11
58,"[1997, 2001]",2
59,"[2001, 2002]",2
60,"[2000, 2001]",2
