driver_nationality,age_at_first_race,driver_first_place_count,driver_second_place_count,driver_third_place_count,driver_top_5_place_count,constructorName,constructor_nationality,constructor_first_place_count,constructor_second_place_count,constructor_third_place_count,constructor_top_5_place_count,best_performing_circuit_name,min_lap_time_diff,avg_lap_time_diff,max_lap_time_diff,median_lap_position,min_pit_stop_time,avg_pit_time,max_pit_stop_time,most_common_pitstop_lap,most_common_starting_position,most_common_ending_position
British,twenty-two,three,three,fifteen,fifteen,Mercedes,German,sixteen,two,two,twenty-six,Hungaroring,0-25%,50% and more,50% and more,three,25-50%,50% and more,50% and more,Mid-race Pitstop,Beyond Top 10,Beyond Top 10
German,twenty-three,zero,zero,one,one,Renault,French,four,two,seven,thirty-one,Albert Park Grand Prix Circuit,50% and more,25-50%,50% and more,ten,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
German,twenty-one,two,two,three,three,Mercedes,German,six,two,zero,fourteen,Albert Park Grand Prix Circuit,0-25%,50% and more,50% and more,six,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Spanish,twenty,four,four,nine,nine,Alpine F1 Team,French,zero,zero,zero,four,Hungaroring,0-25%,50% and more,50% and more,seven,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Finnish,twenty-two,two,two,ten,ten,Alfa Romeo,Swiss,zero,zero,zero,zero,Albert Park Grand Prix Circuit,0-25%,25-50%,50% and more,six,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Polish,twenty-two,zero,zero,one,one,Alfa Romeo,Swiss,zero,zero,zero,zero,Albert Park Grand Prix Circuit,25-50%,50% and more,0-25%,ten,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Brazilian,twenty-one,one,one,three,three,Williams,British,twenty-five,thirteen,twelve,seventy-six,Bahrain International Circuit,0-25%,25-50%,50% and more,seven,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-three,one,one,seven,seven,Red Bull,Austrian,zero,zero,zero,zero,Albert Park Grand Prix Circuit,0-25%,0-25%,25-50%,five,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Australian,twenty-six,zero,zero,four,four,Red Bull,Austrian,eight,two,zero,ten,Circuit de Monaco,0-25%,50% and more,50% and more,seven,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty,one,one,five,five,McLaren,British,twenty-three,twenty-nine,twenty-eight,ninety-nine,Albert Park Grand Prix Circuit,25-50%,50% and more,50% and more,nine,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
German,twenty,three,three,eleven,eleven,Aston Martin,British,zero,zero,zero,two,Albert Park Grand Prix Circuit,0-25%,50% and more,50% and more,five,50% and more,50% and more,50% and more,Late Pitstop,Beyond Top 10,Beyond Top 10
Italian,twenty-three,zero,zero,two,two,Ferrari,Italian,forty,forty-four,twenty-one,one hundred and fifty-one,Albert Park Grand Prix Circuit,25-50%,0-25%,0-25%,ten,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Brazilian,twenty-one,two,two,six,six,Williams,British,twenty-five,thirteen,eight,sixty-seven,Circuit de Monaco,25-50%,0-25%,50% and more,six,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
German,twenty-two,zero,zero,four,four,Toyota,Japanese,zero,zero,zero,three,Albert Park Grand Prix Circuit,0-25%,0-25%,25-50%,seven,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
German,twenty-two,three,three,fifteen,fifteen,Mercedes,German,zero,zero,zero,six,Albert Park Grand Prix Circuit,0-25%,0-25%,50% and more,three,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Colombian,twenty-six,zero,zero,four,four,McLaren,British,twenty-one,twenty-three,twenty-four,eighty-three,Circuit de Monaco,0-25%,0-25%,50% and more,four,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Canadian,twenty-five,one,one,three,three,BMW Sauber,German,zero,zero,zero,three,Albert Park Grand Prix Circuit,50% and more,0-25%,0-25%,eight,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
German,twenty-seven,zero,zero,two,two,Sauber,Swiss,zero,zero,zero,five,Circuit de Nevers Magny-Cours,25-50%,0-25%,25-50%,six,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
French,twenty-five,zero,zero,four,four,Jordan,Irish,zero,zero,two,twenty,Circuit Gilles Villeneuve,Unknown,Unknown,Unknown,four,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-eight,one,one,two,two,Jaguar,British,zero,zero,zero,zero,Albert Park Grand Prix Circuit,25-50%,0-25%,25-50%,five,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
Finnish,twenty-three,one,one,six,six,McLaren,British,twenty-one,nineteen,seventeen,seventy,Silverstone Circuit,0-25%,0-25%,Unknown,two,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,twenty-five,zero,zero,one,one,Jaguar,British,zero,zero,zero,zero,Albert Park Grand Prix Circuit,Unknown,Unknown,Unknown,four,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
British,thirty-two,two,two,four,four,Jordan,Irish,zero,zero,two,sixteen,Circuit de Barcelona-Catalunya,Unknown,0-25%,Unknown,three,Unknown,Unknown,Unknown,Late Pitstop,Beyond Top 10,Beyond Top 10
